ID,EventName,EventDate,StartDate,EndDate,Location,HybridNotes,EventLink,Year
0,Hackcation,Jul 3rd - 5th,2020-07-03,2020-07-03,2020-07-05,"Everywhere, Worldwide",Digital Only,https://hackp.ac/Hackcation,2021
1,"New hack, who this?",Jul 10th - 12th,2020-07-10,2020-07-10,2020-07-12,"Everywhere, Worldwide",Digital Only,https://hackp.ac/NewHackWhoThis,2021
2,VandyHacks Summer Edition,Jul 10th - 12th,2020-07-10,2020-07-10,2020-07-12,"Everywhere, Worldwide",Digital Only,https://summer.vandyhacks.org/,2021
3,HackItShipIt,Jul 17th - 19th,2020-07-17,2020-07-17,2020-07-19,"Everywhere, Worldwide",Digital Only,https://hackp.ac/HackItShipIt,2021
4,SigmaHacks 2.0,Jul 24th - 26th,2020-07-24,2020-07-24,2020-07-26,"Everywhere, Worldwide",Digital Only,https://sigmahacks.org/,2021
5,Hacky Birthday MLH!,Jul 25th - 26th,2020-07-25,2020-07-25,2020-07-26,"Everywhere, Worldwide",Digital Only,https://hackp.ac/HackyBirthdayMLH,2021
6,HobbyHacks,Jul 25th - 26th,2020-07-25,2020-07-25,2020-07-26,"Everywhere, Worldwide",Digital Only,https://hobbyhacks.techtogether.io/,2021
7,To the Moon and Hack,Jul 31st - Aug 2nd,2020-07-31,2020-07-31,2020-08-02,"Everywhere, Worldwide",Digital Only,https://hackp.ac/ToTheMoonAndHack,2021
8,HAC HackAgainstCovid,Aug 7th - 9th,2020-08-07,2020-08-07,2020-08-09,"Everywhere, Worldwide",Digital Only,https://hac.codezoned.com/,2021
9,Roll for Hacking,Aug 7th - 9th,2020-08-07,2020-08-07,2020-08-09,"Everywhere, Worldwide",Digital Only,https://hackp.ac/RollForHacking,2021
10,Garuda Hacks,Aug 14th - 16th,2020-08-14,2020-08-14,2020-08-16,"Everywhere, Worldwide",Digital Only,https://garudahacks.com/,2021
11,YeeHaw Hacks,Aug 14th - 16th,2020-08-14,2020-08-14,2020-08-16,"Everywhere, Worldwide",Digital Only,https://hackp.ac/YeeHawHacks,2021
12,Hack'20,Aug 15th - 16th,2020-08-15,2020-08-15,2020-08-16,"Everywhere, Worldwide",Digital Only,https://hack20.dubhacks.co/,2021
13,Hack The 6ix,Aug 21st - 23rd,2020-08-21,2020-08-21,2020-08-23,"Everywhere, Worldwide",Digital Only,https://hackthe6ix.com/,2021
14,MHacks,Aug 21st - 23rd,2020-08-21,2020-08-21,2020-08-23,"Everywhere, Worldwide",Digital Only,https://mhacks.org/,2021
15,HackMTY,Aug 29th - 30th,2020-08-29,2020-08-29,2020-08-30,"Everywhere, Online",Digital Only,https://hackmty.com/,2021
16,Suns Out Hacks Out,Aug 29th - 30th,2020-08-29,2020-08-29,2020-08-30,"Everywhere, Worldwide",Digital Only,https://hackp.ac/SunsOutHacksOut,2021
17,First Day Back Hacks,Sep 4th - 6th,2020-09-04,2020-09-04,2020-09-06,"Everywhere, Worldwide",Digital Only,https://hackp.ac/FirstDayBackHacks,2021
18,MedHacks,Sep 4th - 6th,2020-09-04,2020-09-04,2020-09-06,"Everywhere, Worldwide",Digital Only,https://medhacks.io/2020/,2021
19,Delhi Hacks,Sep 5th - 6th,2020-09-05,2020-09-05,2020-09-06,"Everywhere, Worldwide",Digital Only,https://delhihacks.xyz/,2021
20,Hack Kosice,Sep 5th - 6th,2020-09-05,2020-09-05,2020-09-06,"Everywhere, Online",Digital Only,https://hackkosice.com/,2021
21,Bon Hackétit,Sep 11th - 13th,2020-09-11,2020-09-11,2020-09-13,"Everywhere, Worldwide",Digital Only,https://hackp.ac/BonHacketit,2021
22,HopHacks,Sep 11th - 13th,2020-09-11,2020-09-11,2020-09-13,"Everywhere, Worldwide",Digital Only,https://hophacks.com,2021
23,Aye Aye Hackers,Sep 18th - 20th,2020-09-18,2020-09-18,2020-09-20,"Everywhere, Worldwide",Digital Only,https://hackp.ac/AyeAyeHackers,2021
24,GrizzHacks,Sep 18th - 20th,2020-09-18,2020-09-18,2020-09-20,"Everywhere, Worldwide",Digital Only,https://grizzhacks.com/,2021
25,HackRice,Sep 18th - 20th,2020-09-18,2020-09-18,2020-09-20,"Everywhere, Worldwide",Digital Only,https://hack.rice.edu,2021
26,Silly Hacks,Sep 18th - 20th,2020-09-18,2020-09-18,2020-09-20,"Everywhere, Worldwide",Digital Only,https://sillyhacks.online/,2021
